source_id,source_type,relationship_type,target_id,target_type
2,Degree,is_a_degree_in,1,Profession
3,Degree,is_a_degree_in,1,Profession
4,Degree,is_a_degree_in,1,Profession
5,Degree,is_a_degree_in,1,Profession
6,Degree,is_a_degree_in,1,Profession
7,Degree,is_a_degree_in,1,Profession
1,Profession,recognizes,20,Certification
1,Profession,recognizes,21,Certification
1,Profession,recognizes,22,Certification
1,Profession,recognizes,23,Certification
1,Profession,recognizes,24,Certification
1,Profession,recognizes,25,Certification
1,Profession,recognizes,26,Certification
1,Profession,recognizes,27,Certification
1,Profession,recognizes,28,Certification
1,Profession,recognizes,29,Certification
1,Profession,has_job_offerings_from,36,Organization
1,Profession,has_job_offerings_from,37,Organization
1,Profession,has_job_offerings_from,38,Organization
14,JobProfile,belongs_to,1,Profession
15,JobProfile,belongs_to,1,Profession
16,JobProfile,belongs_to,1,Profession
17,JobProfile,belongs_to,1,Profession
18,JobProfile,belongs_to,1,Profession
19,JobProfile,belongs_to,1,Profession
30,College,offers_course_in,1,Profession
31,College,offers_course_in,1,Profession
32,College,offers_course_in,1,Profession
33,College,offers_course_in,1,Profession
34,College,offers_course_in,1,Profession
35,College,offers_course_in,1,Profession
8,EducationalGrade,is_prerequisite_for,2,Degree
9,Subject,is_prerequisite_for,2,Degree
10,MinimumPercentage,is_prerequisite_for,2,Degree
11,MinimumPercentage,is_prerequisite_for,3,Degree
11,MinimumPercentage,is_prerequisite_for,4,Degree
11,MinimumPercentage,is_prerequisite_for,5,Degree
2,Degree,is_prerequisite_for,3,Degree
2,Degree,is_prerequisite_for,4,Degree
2,Degree,is_prerequisite_for,5,Degree
